alpha,beta,mcs,s0,s1,s2,s3,s4,s5,s6,s7,length,stable
0.05,0.9,50000,0.2255,0.139,0.1759,0.1857,0.2014,0,0,0.0725,100,false
0.05,0.9,100000,0.2355,0.1525,0.2316,0.1163,0.1916,0,0,0.0725,100,false
0.05,0.95,10000,0.2075,0.2135,0.1663,0.174,0.1694,0,0,0.0693,100,false
0.05,0.95,50000,0.2172,0.0949,0.1252,0.1836,0.3098,0,0,0.0693,100,false
0.05,0.95,100000,0.1713,0.2257,0.2117,0.1817,0.1403,0,0,0.0693,100,false
0.05,1,10000,0.1398,0.1445,0.1601,0.3264,0.1587,0,0,0.0705,100,false
0.05,1,50000,0.2076,0.1714,0.1514,0.2092,0.1899,0,0,0.0705,100,false
0.05,1,100000,0.2085,0.2216,0.2153,0.1658,0.1183,0,0,0.0705,100,false
0.1,0,10000,0.6657,0.0016,0.0003,0.1089,0.0748,0.049,0.0522,0.0475,100,false
0.1,0,50000,0.6657,0.0016,0.0003,0.1089,0.0748,0.049,0.0522,0.0475,100,true
0.1,0,100000,0.6657,0.0016,0.0003,0.1089,0.0748,0.049,0.0522,0.0475,100,true
0.1,0.05,10000,0.6714,0.0001,0,0.2392,0,0.0162,0.0286,0.0445,100,false
0.1,0.05,50000,0.6714,0.0001,0,0.2392,0,0.0162,0.0286,0.0445,100,true
0.1,0.05,100000,0.6714,0.0001,0,0.2392,0,0.0162,0.0286,0.0445,100,true
0.1,0.1,10000,0.3125,0,0.3316,0,0.3065,0,0,0.0494,100,false
0.1,0.1,50000,0.312,0,0.306,0,0.3326,0,0,0.0494,100,false
0.1,0.1,100000,0.3362,0,0.3242,0,0.2902,0,0,0.0494,100,false
0.1,0.15,10000,0.2452,0,0.4442,0,0.2582,0,0,0.0524,100,false
0.1,0.15,50000,0.2517,0,0.4772,0,0.2187,0,0,0.0524,100,false
0.1,0.15,100000,0.2854,0,0.4119,0,0.2503,0,0,0.0524,100,false
0.1,0.2,10000,0.0001,0.0799,0,0,0.8593,0,0,0.0607,100,false
0.1,0.2,50000,0.0001,0.0799,0,0,0.8593,0,0,0.0607,100,true
0.1,0.2,100000,0.0001,0.0799,0,0,0.8593,0,0,0.0607,100,true
0.1,0.25,10000,0,0.1616,0,0,0.7803,0,0,0.0581,100,false
0.1,0.25,50000,0,0.1616,0,0,0.7803,0,0,0.0581,100,true
0.1,0.25,100000,0,0.1616,0,0,0.7803,0,0,0.0581,100,true
0.1,0.3,10000,0.141,0,0.6329,0,0.1631,0,0,0.063,100,false
0.1,0.3,50000,0.1811,0,0.5831,0,0.1728,0,0,0.063,100,false
0.1,0.3,100000,0.1797,0,0.5863,0,0.171,0,0,0.063,100,false
0.1,0.35,10000,0.2426,0,0.4937,0,0.2054,0,0,0.0583,100,false
0.1,0.35,50000,0.1191,0,0.679,0,0.1436,0,0,0.0583,100,false
0.1,0.35,100000,0.1172,0,0.6579,0,0.1666,0,0,0.0583,100,false
0.1,0.4,10000,0.4671,0.0627,0.2251,0.0475,0.1386,0,0,0.059,100,false
0.1,0.4,50000,0.3258,0.0561,0.181,0.1417,0.2364,0,0,0.059,100,false
0.1,0.4,100000,0.2125,0,0.607,0,0.1215,0,0,0.059,100,false
0.1,0.45,10000,0.4738,0.0626,0.2341,0.0488,0.1177,0,0,0.063,100,false
0.1,0.45,50000,0.3028,0.0982,0.3169,0.0918,0.1273,0,0,0.063,100,false
0.1,0.45,100000,0.4966,0.1041,0.1252,0.0673,0.1438,0,0,0.063,100,false
0.1,0.5,10000,0.3747,0.0852,0.2264,0.0751,0.1693,0,0,0.0693,100,false
0.1,0.5,100000,0,0.0052,0,0,0.9255,0,0,0.0693,100,true
0.1,0.55,10000,0.2752,0.0681,0.1228,0.1384,0.329,0,0,0.0665,100,false
0.1,0.55,50000,0.2514,0.0809,0.2624,0.115,0.2238,0,0,0.0665,100,false
0.1,0.55,100000,0,0.2035,0,0,0.73,0,0,0.0665,100,true
0.1,0.6,10000,0.3001,0.1547,0.2382,0.0695,0.1757,0,0,0.0618,100,false
0.1,0.6,50000,0.2742,0.0755,0.2784,0.0728,0.2373,0,0,0.0618,100,false
0.1,0.6,100000,0.2758,0.0147,0.2146,0.1051,0.328,0,0,0.0618,100,false
0.1,0.65,10000,0.3145,0.1059,0.1636,0.153,0.1978,0,0,0.0652,100,false
0.1,0.65,50000,0.3187,0.1307,0.2352,0.0922,0.158,0,0,0.0652,100,false
0.1,0.65,100000,0.3333,0.1416,0.1216,0.102,0.2363,0,0,0.0652,100,false
0.1,0.7,10000,0.2705,0.1624,0.2152,0.1583,0.1321,0,0,0.0615,100,false
0.1,0.7,50000,0.2284,0.0915,0.1716,0.2107,0.2363,0,0,0.0615,100,false
0.1,0.7,100000,0.3532,0.1626,0.1841,0.0744,0.1642,0,0,0.0615,100,false
0.1,0.75,10000,0.189,0.0911,0.2351,0.1721,0.247,0,0,0.0657,100,false
