mcs,s1,s2,s3,s4,s5
28498,22.6775,16.45,16.0875,20.98,16.5825
28499,22.7525,16.45,16.1775,20.9675,16.6925
28500,22.76,16.345,16.235,20.885,16.705
28501,22.66,16.28,16.275,20.725,16.7
28502,22.7525,16.2175,16.305,20.7225,16.7325
28503,22.7525,16.2575,16.31,20.5475,16.7425
28504,22.755,16.26,16.2925,20.6225,16.8175
28505,22.7675,16.225,16.34,20.5575,16.855
28506,22.865,16.285,16.375,20.3975,16.905
28507,22.91,16.1925,16.4175,20.2275,16.8775
28508,22.87,16.235,16.43,20.3,16.8775
28509,22.7375,16.1625,16.4875,20.265,16.945
28510,22.7375,16.2275,16.4175,20.175,17.075
28511,22.705,16.1775,16.5125,20.2075,17.095
28512,22.6075,16.2375,16.5725,20.155,17.215
28513,22.6575,16.27,16.6425,19.99,17.1175
28514,22.6975,16.31,16.6225,19.995,17.2475
28515,22.62,16.355,16.63,19.9,17.1925
28516,22.535,16.3525,16.745,19.8475,17.1875
28517,22.46,16.42,16.6975,19.77,17.28
28518,22.395,16.3375,16.6925,19.865,17.29
28519,22.2825,16.4375,16.7125,19.9125,17.4
28520,22.17,16.525,16.8375,19.8525,17.475
28521,22.17,16.5,16.805,19.755,17.5075
28522,21.97,16.6475,16.85,19.7425,17.555
28523,21.935,16.6975,16.825,19.6525,17.54
28524,21.9325,16.8425,16.7875,19.6,17.64
28525,21.9725,16.8575,16.755,19.5625,17.555
28526,21.9075,16.9475,16.7975,19.525,17.575
28527,21.88,17.0025,16.8325,19.4225,17.6125
28528,21.7975,16.9875,16.85,19.37,17.6425
28529,21.755,17.175,16.805,19.325,17.655
28530,21.7475,17.3375,16.78,19.1975,17.6825
28531,21.715,17.4225,16.82,19.1025,17.7075
28532,21.655,17.565,16.775,19.025,17.7825
28533,21.64,17.665,16.7825,18.9075,17.83
28534,21.6375,17.64,16.7025,18.9125,17.745
28535,21.695,17.705,16.705,18.8925,17.7475
28536,21.7275,17.7225,16.7075,18.8475,17.935
28537,21.655,17.8625,16.6975,18.795,17.9025
28538,21.6225,17.9025,16.595,18.745,17.9425
28539,21.415,17.9975,16.5775,18.7925,18.14
28540,21.4025,18.0825,16.5525,18.735,18.105
28541,21.36,18.04,16.4325,18.6,18.15
28542,21.2925,18.0125,16.46,18.5075,18.1725
28543,21.3025,18.155,16.415,18.585,18.1775
28544,21.3475,18.16,16.3675,18.5475,18.18
28545,21.315,18.2575,16.295,18.5775,18.2625
28546,21.2525,18.23,16.32,18.4925,18.23
28547,21.195,18.3175,16.2625,18.44,18.28
28548,21.325,18.395,16.2925,18.355,18.3025
28549,21.2625,18.4925,16.2625,18.35,18.305
28550,21.1425,18.515,16.1775,18.2375,18.4275
28551,21.045,18.5675,16.0625,18.2875,18.43
28552,21.145,18.5575,16.095,18.27,18.415
28553,21.085,18.515,15.9925,18.2875,18.4625
28554,21.085,18.6875,15.985,18.3475,18.475
28555,21.1575,18.7725,15.9075,18.39,18.3725
28556,21.1075,18.9125,15.815,18.3425,18.29
28557,21.06,18.965,15.8325,18.46,18.2475
28558,21.05,19.0475,15.715,18.415,18.2625
28559,21.0375,19.1475,15.715,18.4975,18.135
28560,20.9825,19.11,15.6525,18.5225,18.14
28561,21,19.245,15.74,18.595,18
28562,20.9425,19.2875,15.63,18.6125,18.0275
28563,20.96,19.4025,15.575,18.6475,17.9675
28564,20.8075,19.4925,15.52,18.6975,17.8575
28565,20.7225,19.5925,15.495,18.8075,17.8275
28566,20.74,19.6325,15.4675,18.8175,17.9
28567,20.6225,19.6725,15.335,18.8775,17.805
28568,20.67,19.69,15.36,18.915,17.7925
28569,20.57,19.8325,15.2475,18.885,17.7975
28570,20.6525,19.8525,15.1825,18.8675,17.7875
28571,20.6025,20.0175,15.1625,18.9775,17.675
28572,20.55,20.08,15.1275,19.135,17.685
28573,20.5525,20.1075,15.0675,19.1275,17.5775
28574,20.5375,20.12,14.9975,19.1375,17.5525
28575,20.5725,20.145,15.0525,19.2025,17.45
28576,20.585,20.33,15.06,19.25,17.25
28577,20.51,20.3625,14.925,19.3175,17.265
28578,20.5825,20.41,14.84,19.3025,17.29
28579,20.54,20.4875,14.78,19.4825,17.15
28580,20.6075,20.6125,14.6175,19.5875,17.0575
28581,20.43,20.63,14.555,19.685,16.9575
28582,20.5375,20.6925,14.5575,19.71,16.92
28583,20.47,20.8225,14.475,19.76,16.735
28584,20.5725,20.92,14.5875,19.8075,16.785
28585,20.5825,20.89,14.4875,19.78,16.845
28586,20.5125,20.885,14.4775,19.8475,16.805
28587,20.545,20.7925,14.3475,19.9025,16.7375
28588,20.585,20.81,14.255,19.9125,16.6525
28589,20.5775,20.8725,14.385,20.14,16.6
