alpha,beta,gamma,mcs,s0,s1,s2,s3,s4,s5,s6,s7,length,stable
0.25,0.75,1,500000,0.129719,0.189917,0.13895,0.0780625,0.195361,0,0.156084,0.111906,800,false
0.3,0.75,1,1000,0.100547,0.218469,0.118131,0.0993672,0.171894,0.0344391,0.125598,0.131555,800,false
0.3,0.75,1,10000,0.121686,0.205228,0.120325,0.0815234,0.213939,0,0.139284,0.118014,800,false
0.3,0.75,1,50000,0.117169,0.198119,0.134303,0.0786562,0.2014,0,0.148998,0.121355,800,false
0.3,0.75,1,50000,0.118548,0.199767,0.130447,0.0782375,0.212384,0,0.152136,0.10848,800,false
0.3,0.75,1,100000,0.116231,0.211323,0.118803,0.0722531,0.219364,0,0.148116,0.113909,800,false
0.3,0.75,1,100000,0.104384,0.223453,0.114391,0.0773719,0.229144,0,0.151009,0.100247,800,false
0.3,0.75,1,250000,0.110687,0.208789,0.123083,0.0871469,0.202975,0,0.149561,0.117758,800,false
0.3,0.75,1,250000,0.114767,0.203278,0.136047,0.0722172,0.202717,0,0.157714,0.113259,800,false
0.3,0.75,1,500000,0.111456,0.210497,0.121864,0.0754766,0.22193,0,0.14762,0.111156,800,false
0.35,0.75,1,1000,0.0629797,0.259628,0.0762078,0.132564,0.113594,0.0850344,0.0900703,0.179922,800,false
0.35,0.75,1,10000,0.0698531,0.218745,0.0748297,0.136948,0.145381,0.0938313,0.0956781,0.164733,800,false
0.3,0.75,1,500000,0.113078,0.203589,0.119625,0.0833234,0.221528,0,0.145105,0.113752,800,false
0.35,0.75,1,1000,0.0706641,0.235108,0.0934578,0.123805,0.151562,0.0558109,0.111208,0.158384,800,false
0.35,0.75,1,10000,0.0969422,0.212398,0.115108,0.0759859,0.223741,0,0.154394,0.121431,800,false
0.35,0.75,1,50000,0,0.248914,0,0.245636,0,0.250098,0,0.255352,800,false
0.35,0.75,1,50000,0.102931,0.205864,0.132481,0.0769109,0.220177,0,0.14593,0.115706,800,false
0.35,0.75,1,100000,0,0.241731,0,0.255181,0,0.250603,0,0.252484,800,false
0.35,0.75,1,100000,0.102244,0.215441,0.111039,0.0796844,0.206987,0,0.159466,0.125139,800,false
0.35,0.75,1,250000,0,0.241109,0,0.256205,0,0.253713,0,0.248973,800,false
0.35,0.75,1,250000,0.104027,0.216384,0.126309,0.0688297,0.213269,0,0.149514,0.121667,800,false
0.3,0.75,1,1000,0.0868672,0.200806,0.107752,0.106233,0.164814,0.0477547,0.127741,0.158033,800,false
0.3,0.75,1,10000,0.107673,0.209055,0.119487,0.0857187,0.207047,0,0.151592,0.119427,800,false
0.3,0.75,1,1000,0.0902437,0.21088,0.105633,0.118083,0.153116,0.0547422,0.110398,0.156905,800,false
0.3,0.75,1,10000,0.113355,0.201094,0.138186,0.0708891,0.214022,0,0.150002,0.112453,800,false
0.3,0.75,1,50000,0.107067,0.210391,0.119759,0.0828563,0.202609,0,0.160344,0.116973,800,false
0.3,0.75,1,50000,0.114064,0.199034,0.11953,0.0898547,0.224988,0,0.141109,0.11142,800,false
0.3,0.75,1,100000,0.118234,0.1932,0.141303,0.0879406,0.197383,0,0.15133,0.110609,800,false
0.3,0.75,1,100000,0.117456,0.212592,0.119905,0.0898687,0.202716,0,0.155019,0.102444,800,false
0.35,0.75,1,500000,0,0.251783,0,0.250295,0,0.247539,0,0.250383,800,false
0.4,0.75,1,1000,0.0374125,0.241541,0.0466281,0.182983,0.0825281,0.148259,0.0622844,0.198364,800,false
0.4,0.75,1,10000,0,0.24292,0,0.251312,0,0.2556,0,0.250167,800,false
0.35,0.75,1,500000,0.107963,0.222022,0.112636,0.0735375,0.212438,0,0.149863,0.121542,800,false
0.4,0.75,1,1000,0.0314719,0.255205,0.0420141,0.181037,0.0780094,0.150392,0.0559813,0.205889,800,false
0.4,0.75,1,10000,0,0.252453,0,0.244078,0,0.250347,0,0.253122,800,false
0.3,0.75,1,250000,0.113125,0.206666,0.119977,0.0895922,0.199227,0,0.149333,0.122081,800,false
0.4,0.75,1,50000,0,0.248828,0,0.245064,0,0.254928,0,0.25118,800,false
0.4,0.75,1,50000,0,0.237905,0,0.243352,0,0.25687,0,0.261873,800,false
0.3,0.75,1,250000,0.115509,0.195936,0.130977,0.0795141,0.198098,0,0.146388,0.133578,800,false
0.4,0.75,1,100000,0,0.248647,0,0.253937,0,0.247017,0,0.250398,800,false
0.4,0.75,1,100000,0,0.237578,0,0.252466,0,0.257955,0,0.252002,800,false
0.4,0.75,1,250000,0,0.25013,0,0.256809,0,0.250091,0,0.24297,800,false
0.4,0.75,1,250000,0,0.250847,0,0.248967,0,0.251434,0,0.248752,800,false
0.3,0.75,1,500000,0.112259,0.209941,0.123711,0.0810687,0.207506,0,0.159564,0.10595,800,false
0.35,0.75,1,1000,0.0667313,0.229594,0.0839547,0.125452,0.148573,0.0695125,0.111922,0.164261,800,false
