alpha,beta,gamma,mcs,s0,s1,s2,s3,s4,s5,s6,s7,length,stable
0.25,0.75,1,7000,0.122731,0.198336,0.128295,0.0870906,0.20507,0,0.150975,0.107502,800,0
0.25,0.75,1,10000,0.127834,0.20392,0.138384,0.0814234,0.190819,0,0.151381,0.106237,800,0
0.25,0.75,1,25000,0.126341,0.202237,0.134544,0.0850641,0.199511,0,0.140545,0.111758,800,0
0.25,0.75,1,50000,0.127809,0.187714,0.132386,0.0801109,0.201417,0,0.160413,0.11015,800,0
0.35,0.75,1,1000,0.0605094,0.229133,0.0789422,0.121789,0.123023,0.0883531,0.10305,0.1952,800,0
0.35,0.75,1,2000,0.075075,0.232628,0.0921687,0.12967,0.140303,0.0700797,0.0988703,0.161205,800,0
0.35,0.75,1,3000,0.0785891,0.223105,0.0916063,0.116802,0.162341,0.0590266,0.107675,0.160856,800,0
0.35,0.75,1,5000,0.0843172,0.220386,0.100358,0.0972531,0.176933,0.0371422,0.139661,0.14395,800,0
0.35,0.75,1,7000,0.0887797,0.221473,0.107744,0.0983469,0.184639,0.0286547,0.130133,0.14023,800,0
0.35,0.75,1,10000,0.0900406,0.221802,0.11562,0.0889125,0.202455,0.0195062,0.131248,0.130416,800,0
0.35,0.75,1,25000,0.10885,0.21773,0.115916,0.0778578,0.207664,0,0.147208,0.124775,800,0
0.35,0.75,1,50000,0.108961,0.218533,0.126775,0.0726484,0.212764,0,0.151692,0.108627,800,0
0.3,0.75,1,1000,0.093925,0.206606,0.101973,0.11663,0.148022,0.0510016,0.126227,0.155616,800,0
0.3,0.75,1,2000,0.114991,0.197733,0.121522,0.0839172,0.172487,0.0199594,0.143839,0.145552,800,0
0.3,0.75,1,3000,0.123603,0.185183,0.126898,0.0956078,0.196155,0.00826719,0.138459,0.125827,800,0
0.3,0.75,1,5000,0.115428,0.194933,0.133631,0.0781031,0.211448,0.000721875,0.145336,0.120398,800,0
0.3,0.75,1,7000,0.11475,0.211369,0.125295,0.0881859,0.197334,0,0.152956,0.110109,800,0
0.3,0.75,1,10000,0.120262,0.206906,0.128072,0.086575,0.209703,0,0.142398,0.106083,800,0
0.3,0.75,1,25000,0.116134,0.203491,0.128548,0.077525,0.207245,0,0.143772,0.123284,800,0
0.3,0.75,1,50000,0.118509,0.198884,0.122558,0.0808062,0.215328,0,0.143222,0.120692,800,0
0.4,0.75,1,1000,0.0268406,0.253661,0.0359594,0.1844,0.0588406,0.179517,0.0444641,0.216317,800,0
0.4,0.75,1,2000,0.00772969,0.245972,0.00783906,0.243916,0.0118578,0.228831,0.0130906,0.240764,800,0
0.4,0.75,1,3000,0.00020625,0.25243,0,0.250061,0.00114219,0.247578,0.000442187,0.248141,800,0
0.4,0.75,1,5000,0,0.241672,0,0.24913,0,0.259233,0,0.249966,800,0
0.4,0.75,1,7000,0,0.243512,0,0.257877,0,0.252144,0,0.246467,800,0
0.4,0.75,1,10000,0,0.252578,0,0.254689,0,0.246017,0,0.246716,800,0
0.4,0.75,1,25000,0,0.256422,0,0.243181,0,0.253053,0,0.247344,800,0
0.4,0.75,1,50000,0,0.246219,0,0.254639,0,0.250409,0,0.248733,800,0
0,0.75,1,1000,0.00191406,0.398294,0.00570469,0.214784,0.0622359,0.0814281,0.0199922,0.215647,800,500
0,0.75,1,2000,0.00191406,0.398294,0.00570469,0.214784,0.0622359,0.0814281,0.0199922,0.215647,800,500
0,0.75,1,3000,0.00191406,0.398294,0.00570469,0.214784,0.0622359,0.0814281,0.0199922,0.215647,800,500
0,0.75,1,5000,0.00191406,0.398294,0.00570469,0.214784,0.0622359,0.0814281,0.0199922,0.215647,800,500
0,0.75,1,7000,0.00191406,0.398294,0.00570469,0.214784,0.0622359,0.0814281,0.0199922,0.215647,800,500
0,0.75,1,10000,0.00191406,0.398294,0.00570469,0.214784,0.0622359,0.0814281,0.0199922,0.215647,800,500
0,0.75,1,25000,0.00191406,0.398294,0.00570469,0.214784,0.0622359,0.0814281,0.0199922,0.215647,800,500
0,0.75,1,50000,0.00191406,0.398294,0.00570469,0.214784,0.0622359,0.0814281,0.0199922,0.215647,800,500
0.35,0.75,1,1000,0.0624109,0.225844,0.0767531,0.140375,0.120887,0.0906922,0.104116,0.178922,800,0
0.35,0.75,1,2000,0.0744578,0.231436,0.0842391,0.12238,0.123886,0.0831031,0.10657,0.173928,800,0
0.35,0.75,1,3000,0.0714,0.222648,0.0873437,0.127609,0.133036,0.0802484,0.112898,0.164816,800,0
0.35,0.75,1,5000,0.0677875,0.227359,0.0792797,0.140264,0.115913,0.0911016,0.0999453,0.17835,800,0
0.35,0.75,1,7000,0.0602719,0.236991,0.0696766,0.146975,0.107678,0.117003,0.0746984,0.186706,800,0
0.35,0.75,1,10000,0.0479891,0.239997,0.059275,0.163725,0.110873,0.123778,0.0714578,0.182905,800,0
0.35,0.75,1,25000,0.0414594,0.229475,0.0494094,0.181002,0.0719484,0.157689,0.0617219,0.207295,800,0
0.35,0.75,1,50000,0,0.258102,0,0.247694,0,0.244511,0,0.249694,800,0
0.05,0.75,1,1000,0.088875,0.195744,0.095525,0.143716,0.117205,0.109278,0.084125,0.165533,800,0
0.05,0.75,1,2000,0.115122,0.200558,0.116831,0.12795,0.136645,0.0567906,0.104091,0.142013,800,0
