MCS,ROCK,PAPER,SCISSORS,LIZARD,SPOCK
229,1.66,1.2525,20.78,36.9825,33.7725
230,1.6975,1.205,20.98,37.225,33.2425
231,1.7025,1.215,21.0475,37.5725,32.7875
232,1.7275,1.1975,21.2225,37.8625,32.5
233,1.7275,1.1625,21.3925,38.005,32.2225
234,1.72,1.1375,21.565,38.24,31.84
235,1.71,1.1225,21.745,38.27,31.335
236,1.7325,1.105,22.06,38.34,30.945
237,1.76,1.125,22.38,38.4425,30.585
238,1.7725,1.11,22.76,38.6125,30.155
239,1.7825,1.0725,23.09,38.7175,29.91
240,1.735,1.035,23.29,38.8125,29.62
241,1.7825,1.035,23.5225,38.8125,29.2275
242,1.77,1.0325,23.89,38.835,28.8675
243,1.7675,1.035,24.1175,38.885,28.4775
244,1.785,1.0275,24.55,38.8075,28.245
245,1.8125,1.05,24.8275,38.7825,27.9475
246,1.8125,1.0175,25.1225,38.7075,27.71
247,1.8325,1,25.455,38.5525,27.4725
248,1.825,1.0025,25.82,38.4225,27.3175
249,1.8225,1.0125,26.0275,38.375,27.015
250,1.8175,0.9975,26.365,38.2675,26.88
251,1.83,0.9675,26.615,38.1475,26.7825
252,1.8325,0.9825,26.7925,37.9625,26.6
253,1.8225,0.97,27.0975,37.975,26.345
254,1.845,0.9625,27.5275,37.675,26.315
255,1.8975,0.98,27.75,37.3975,26.21
256,1.915,0.9875,28.0825,37.285,26.09
257,1.9575,0.9775,28.395,37.11,25.9225
258,2.005,0.9725,28.625,36.7425,25.8675
259,2.005,0.985,28.975,36.525,25.93
260,2.045,0.9575,29.215,36.2425,25.7775
261,2.0675,0.965,29.4075,35.975,25.82
262,2.0925,0.9275,29.725,35.6325,25.83
263,2.115,0.925,30.0225,35.3725,25.8675
264,2.1025,0.945,30.3225,35.0375,25.9525
265,2.1075,0.92,30.55,34.76,25.9825
266,2.105,0.9325,30.7175,34.435,25.9175
267,2.11,0.9325,31.1275,34.1225,25.9475
268,2.14,0.945,31.3775,33.8625,26.115
269,2.2025,0.9675,31.5625,33.57,26.105
270,2.26,0.9575,31.6125,33.1575,26.235
271,2.25,0.9225,31.8525,32.89,26.3825
272,2.3075,0.9175,31.935,32.62,26.465
273,2.305,0.9075,32.1175,32.51,26.5275
274,2.3275,0.8775,32.29,32.22,26.6075
275,2.34,0.8775,32.48,31.9175,26.495
276,2.37,0.8575,32.78,31.61,26.6125
277,2.35,0.815,33.0075,31.08,26.85
278,2.3275,0.81,33.2975,30.7475,26.855
279,2.37,0.795,33.415,30.685,26.98
280,2.41,0.79,33.5775,30.485,26.945
281,2.405,0.78,33.58,30.3475,27.01
282,2.4425,0.7325,33.7725,30.0475,27.0925
283,2.46,0.755,33.835,29.875,27.2
284,2.4925,0.7575,33.9425,29.585,27.1725
285,2.5525,0.7825,34.145,29.3,27.3
286,2.5775,0.785,34.295,29.0225,27.4675
287,2.595,0.79,34.4425,28.87,27.54
288,2.645,0.755,34.5775,28.68,27.69
289,2.6625,0.7275,34.5275,28.425,27.9775
290,2.6375,0.7275,34.55,28.17,28.245
291,2.7075,0.6925,34.51,27.92,28.43
292,2.7375,0.67,34.5,27.6075,28.59
293,2.785,0.675,34.41,27.535,28.805
294,2.83,0.665,34.42,27.315,28.935
295,2.9025,0.6775,34.26,27.0225,29.3275
296,2.9625,0.6675,34.305,26.77,29.5025
297,3.0075,0.6575,34.315,26.6775,29.675
298,3.0325,0.655,34.195,26.47,29.9
299,3.075,0.665,34.095,26.205,30.15
300,3.1525,0.6625,34.0575,26.0275,30.4325
301,3.2,0.6475,33.8025,25.77,30.7125
302,3.245,0.685,33.8175,25.74,30.9125
303,3.265,0.7,33.645,25.6725,31.175
304,3.295,0.6775,33.42,25.58,31.475
305,3.3,0.69,33.31,25.5675,31.675
306,3.3625,0.675,33.05,25.425,31.875
