mcs,s1,s2,s3
627,31.6741,30.5731,27.9273
628,31.705,30.5355,27.9363
629,31.7561,30.5453,27.9134
630,31.7898,30.5166,27.9155
631,31.7883,30.5044,27.9034
632,31.8466,30.4486,27.9209
633,31.8494,30.4406,27.9134
634,31.8806,30.4083,27.9191
635,31.8863,30.3406,27.953
636,31.9103,30.3155,27.9622
637,31.9458,30.2867,27.9647
638,31.9966,30.2522,27.9977
639,32.0081,30.1734,28.0142
640,32.0425,30.1317,28.037
641,32.0463,30.1019,28.055
642,32.0663,30.053,28.0913
643,32.0836,29.9952,28.1555
644,32.0431,29.9669,28.2003
645,32.0516,29.903,28.2252
646,32.0753,29.8417,28.2803
647,32.0844,29.7772,28.3511
648,32.0945,29.7619,28.3708
649,32.1003,29.705,28.3959
650,32.0616,29.6562,28.4222
651,32.0584,29.6294,28.4772
652,32.0269,29.5978,28.5105
653,32.0264,29.5341,28.5759
654,32.0464,29.4983,28.5948
655,32.0367,29.4773,28.6242
656,32.0616,29.4506,28.6769
657,32.0291,29.4481,28.7167
658,32.0383,29.4106,28.7341
659,32.0348,29.3706,28.7791
660,31.9912,29.3469,28.8548
661,31.9327,29.3173,28.9064
662,31.9444,29.2952,28.9484
663,31.8867,29.2625,29.0067
664,31.8444,29.2556,29.0583
665,31.7783,29.242,29.1169
666,31.7088,29.215,29.2013
667,31.6534,29.2,29.3034
668,31.6203,29.1839,29.3509
669,31.5794,29.1558,29.4156
670,31.5336,29.1381,29.5042
671,31.5092,29.1088,29.5541
672,31.458,29.0803,29.6244
673,31.4089,29.0237,29.7064
674,31.3712,28.9769,29.7617
675,31.3642,28.9402,29.8375
676,31.3564,28.9217,29.8942
677,31.3047,28.8827,29.9658
678,31.2617,28.842,30.065
679,31.2053,28.8148,30.1192
680,31.1781,28.7514,30.2045
681,31.1502,28.7613,30.2645
682,31.0931,28.7344,30.342
683,31.0519,28.7125,30.3928
684,31.0162,28.6769,30.4603
685,30.9698,28.6381,30.5694
686,30.9741,28.6062,30.6103
687,30.9447,28.5788,30.657
688,30.8998,28.5755,30.7283
689,30.8572,28.5255,30.8159
690,30.8075,28.507,30.8925
691,30.7716,28.4772,30.9483
692,30.7513,28.4497,31.0052
693,30.7448,28.4042,31.0642
694,30.7192,28.3811,31.0991
695,30.6948,28.3491,31.1136
696,30.6464,28.3509,31.1617
697,30.6183,28.3425,31.1623
698,30.5887,28.343,31.2177
699,30.568,28.3483,31.2525
700,30.5539,28.3225,31.2803
701,30.5262,28.3281,31.3156
702,30.4784,28.352,31.3044
703,30.4622,28.3503,31.3225
704,30.4542,28.3588,31.3305
705,30.4208,28.3928,31.323
706,30.3802,28.3844,31.3383
707,30.3302,28.3919,31.3652
708,30.2908,28.4203,31.3917
709,30.2789,28.4623,31.3887
710,30.2433,28.4612,31.3858
711,30.2241,28.4906,31.3698
712,30.1934,28.5183,31.3569
713,30.1416,28.5555,31.3869
714,30.1178,28.5838,31.3712
715,30.0864,28.6187,31.3688
716,30.0708,28.5955,31.3931
717,30.0622,28.6137,31.4116
718,30.0434,28.6475,31.4031
719,30.0345,28.6675,31.3833
720,30.0472,28.6734,31.3848
721,29.9995,28.7323,31.3695
722,29.9672,28.7592,31.3714
723,29.9678,28.762,31.3795
724,29.96,28.8045,31.35
725,29.9272,28.8248,31.327
726,29.9125,28.8664,31.3211
727,29.8916,28.9211,31.3095
728,29.8764,28.9333,31.2611
729,29.8839,28.9745,31.2561
